employee_id,is_promoted
8724,1
74430,1
72255,1
38562,1
64486,1
46232,1
54542,1
67269,1
66174,1
76303,1
60245,1
42639,1
30963,1
54055,1
42996,1
12737,1
27561,1
26622,1
31582,1
29793,1
72735,1
5677,1
60889,1
51498,1
8566,1
53151,1
16203,1
61083,1
74849,1
13259,1
72407,1
65237,1
67672,1
77460,1
67317,1
68788,1
36834,1
64281,1
1822,1
55325,1
41432,1
52061,1
39973,1
42524,1
7935,1
49940,1
10059,1
44159,1
76691,1
3720,1
5621,1
24147,1
33997,1
64076,1
21379,1
23714,1
19866,1
4529,1
64703,1
19649,1
6596,1
7999,1
4762,1
5387,1
24620,1
57989,1
75619,1
26977,1
65975,1
51302,1
63714,1
70556,1
70117,1
51972,1
60572,1
9548,1
64,1
35510,1
10732,1
9214,1
10761,1
32110,1
50038,1
1555,1
21200,1
50380,1
45009,1
65450,1
77333,1
2347,1
8443,1
39490,1
69077,1
64652,1
5254,1
71131,1
19620,1
41266,1
11001,1
28530,1
72481,1
67417,1
51840,1
43223,1
40287,1
29367,1
36352,1
29681,1
30233,1
66601,1
40276,1
1522,1
17936,1
26270,1
6837,1
49665,1
1908,1
6474,1
27495,1
24324,1
14299,1
56246,1
3901,1
41566,1
55735,1
53627,1
62683,1
42719,1
44948,1
26037,1
30607,1
46103,1
6452,1
47286,1
44117,1
1367,1
26228,1
65694,1
2721,1
63901,1
4701,1
35341,1
3203,1
10361,1
6572,1
70408,1
11774,1
37873,1
3886,1
23347,1
3034,1
30137,1
52431,1
11061,1
9706,1
17607,1
64986,1
8082,1
20982,1
5794,1
69381,1
50176,1
1612,1
48923,1
50366,1
48813,1
5574,1
57601,1
26788,1
564,1
3864,1
19598,1
19513,1
74965,1
42353,1
13367,1
38556,1
51344,1
28320,1
56104,1
68882,1
75800,1
13223,1
62740,1
67233,1
49207,1
19053,1
38096,1
46519,1
2111,1
69413,1
53827,1
40064,1
33502,1
15182,1
13593,1
15613,1
75751,1
71625,1
37763,1
10812,1
67357,1
49583,1
45428,1
9978,1
44266,1
47252,1
57884,1
24334,1
58892,1
40799,1
33879,1
24403,1
51150,1
7722,1
71271,1
56772,1
65909,1
8228,1
52138,1
22999,1
29196,1
10663,1
65651,1
17973,1
10986,1
19355,1
75402,1
52587,1
41662,1
73944,1
3987,1
40057,1
76195,1
12411,1
15161,1
59084,1
53857,1
42772,1
5294,1
56439,1
29998,1
76599,1
27424,1
45605,1
75833,1
57068,1
70129,1
14733,1
71886,1
7561,1
59522,1
44299,1
29220,1
15869,1
51270,1
14778,1
19212,1
70890,1
31183,1
46628,1
44670,1
70734,1
47051,1
17760,1
8180,1
24756,1
56780,1
59919,1
18924,1
42477,1
50900,1
11824,1
51740,1
51364,1
64265,1
46233,1
41215,1
47172,1
53542,1
2121,1
77677,1
38018,1
29799,1
565,1
33473,1
14628,1
46339,1
6352,1
63568,1
15317,1
63035,1
22942,1
62212,1
49252,1
38520,1
65459,1
69109,1
67985,1
74040,1
31049,1
55523,1
40579,1
40211,1
41982,1
24286,1
53696,1
47130,1
25340,1
16794,1
10399,1
9095,1
60624,1
30188,1
19292,1
58780,1
33674,1
17128,1
28127,1
42650,1
58393,1
72037,1
33736,1
51260,1
21326,1
7784,1
33540,1
14669,1
53267,1
51294,1
4208,1
64266,1
57995,1
76317,1
32169,1
22403,1
18775,1
7007,1
58836,1
67403,1
34371,1
17603,1
72636,1
44193,1
41162,1
42939,1
37227,1
34986,1
10473,1
42833,1
39224,1
34148,1
65558,1
63986,1
31641,1
45087,1
63354,1
41610,1
10376,1
11414,1
32884,1
71007,1
43891,1
26769,1
23022,1
56684,1
24951,1
8810,1
77266,1
33334,1
29911,1
42142,1
29467,1
11784,1
29776,1
10563,1
6736,1
441,1
14980,1
13549,1
1348,1
14948,1
12723,1
22827,1
30527,1
38928,1
17420,1
72878,1
43657,1
38588,1
55236,1
339,1
30270,1
52076,1
36458,1
27999,1
57114,1
25603,1
71930,1
23945,1
22469,1
34891,1
17506,1
32124,1
